Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Total_Spent,Accepted,Age,Family_Size,Customer_Tenure,Relationship_Status_Partnered,Relationship_Status_Single,Age_Group,Income_Group
1,65486.0,29,1,4,2,10,2,0,507,0,67,2,3863,False,True,Senior,High
2,79143.0,2,1,6,9,13,3,0,1693,0,60,2,4502,True,False,Senior,High
1,35790.0,54,2,2,0,3,7,0,72,0,47,2,4358,False,True,Middle-aged,Medium
1,82582.0,54,1,4,9,7,1,0,1617,1,47,1,3837,False,True,Middle-aged,High
1,66373.0,57,6,4,2,10,3,0,606,0,46,4,4197,True,False,Middle-aged,High
2,82384.0,55,1,3,10,13,1,0,1957,1,69,2,4402,True,False,Senior,High
1,70287.0,30,1,5,5,10,3,0,1093,1,58,1,4268,False,True,Senior,High
1,27938.0,31,1,1,0,4,3,0,29,0,36,2,3877,False,True,Middle-aged,Low
1,51381.5,57,2,2,0,3,6,0,46,0,42,2,4192,False,True,Middle-aged,Medium
3,55954.0,63,3,8,2,6,7,0,518,0,56,3,3933,True,False,Senior,Medium
2,75777.0,12,1,3,6,11,1,0,1438,1,42,1,4175,False,True,Middle-aged,High
1,66653.0,18,4,4,2,12,3,0,612,0,49,4,4475,True,False,Middle-aged,High
1,61823.0,26,4,8,2,10,7,0,884,0,72,2,4311,False,True,Senior,High
3,67680.0,8,1,7,3,8,5,0,606,0,73,2,4198,False,True,Senior,High
1,70666.0,29,1,7,4,4,4,0,1076,0,76,2,4020,True,False,Senior,High
1,25721.0,75,1,1,1,2,7,0,34,1,53,3,4219,True,False,Middle-aged,Low
1,32474.0,0,1,1,0,2,7,0,11,0,57,4,3864,True,False,Senior,Medium
2,88194.0,19,1,11,10,10,5,0,1274,1,45,2,3917,False,True,Middle-aged,High
1,69096.0,4,1,5,2,10,4,0,653,0,66,3,4090,True,False,Senior,High
1,74854.0,90,6,2,5,5,5,0,1562,0,54,4,4262,True,False,Middle-aged,High
2,66991.0,1,3,4,8,6,3,0,1253,0,70,2,4471,True,False,Senior,High
2,51381.5,25,3,3,0,3,8,0,109,0,51,3,4468,True,False,Middle-aged,Medium
1,65031.0,29,4,10,3,13,7,0,863,0,65,3,4284,True,False,Senior,High
3,60631.0,88,5,9,2,8,7,0,661,1,49,4,4265,True,False,Middle-aged,High
1,28332.0,58,1,2,1,4,2,0,65,0,72,2,3875,True,False,Senior,Low
1,40246.0,68,1,1,0,2,6,0,13,0,47,2,4372,False,True,Middle-aged,Medium
2,75251.0,34,1,7,6,5,5,0,1890,1,52,2,4486,True,False,Middle-aged,High
1,75825.0,40,0,5,8,9,4,0,2209,1,48,1,4440,False,True,Middle-aged,High
2,26326.0,12,1,0,0,3,3,0,18,0,48,2,4113,True,False,Middle-aged,Low
1,56046.0,9,2,10,1,8,8,0,692,1,59,2,4358,True,False,Senior,Medium
1,29760.0,87,4,3,1,4,8,0,165,0,39,2,4484,False,True,Middle-aged,Low
1,26304.0,5,1,1,0,2,7,0,16,0,55,3,4186,True,False,Middle-aged,Low
2,23559.0,87,3,3,0,3,7,0,79,0,51,3,4176,True,False,Middle-aged,Low
2,38620.0,56,1,2,5,3,3,0,318,0,61,2,4229,True,False,Senior,Medium
1,81361.0,18,1,3,10,13,1,0,778,0,37,1,3939,False,True,Middle-aged,High
1,29440.0,95,2,1,0,4,7,0,56,0,64,4,4137,True,False,Senior,Low
2,36138.0,48,5,3,1,4,7,0,151,1,54,4,4163,True,False,Middle-aged,Medium
1,50388.0,3,4,6,1,6,7,0,372,1,67,2,3847,False,True,Senior,Medium
1,79593.0,70,1,5,6,7,2,0,1366,1,51,2,3863,True,False,Middle-aged,High
1,54178.0,79,1,2,2,5,2,0,194,0,57,3,3974,True,False,Senior,Medium
3,51381.5,4,6,7,2,8,9,0,603,0,67,4,4402,True,False,Senior,Medium
1,51381.5,45,1,1,0,2,7,0,18,0,67,3,3848,False,True,Senior,Medium
2,51381.5,87,1,2,4,8,1,0,985,0,51,2,4033,True,False,Middle-aged,Medium
2,42394.0,69,1,1,0,3,7,0,32,0,52,2,3913,False,True,Middle-aged,Medium
3,23626.0,84,3,3,1,3,5,0,43,0,54,3,3851,True,False,Middle-aged,Low
1,30096.0,30,1,2,0,3,6,0,45,0,41,3,3853,True,False,Middle-aged,Medium
1,47916.0,72,5,7,4,6,6,0,606,1,64,2,4399,False,True,Senior,Medium
1,51813.0,37,2,2,0,3,7,0,63,0,52,3,4259,False,True,Middle-aged,Medium
2,78497.0,44,1,5,7,12,2,0,978,1,73,2,4025,True,False,Senior,High
3,50150.0,32,2,5,2,7,5,0,410,0,41,2,4189,True,False,Middle-aged,Medium
2,47823.0,0,2,2,0,3,8,0,72,0,64,2,4156,False,True,Senior,Medium
3,34554.0,43,2,2,0,3,6,0,55,0,65,2,3906,False,True,Senior,Medium
1,85693.0,59,2,9,5,11,5,0,1169,0,45,3,4250,True,False,Middle-aged,High
3,65846.0,68,1,6,3,6,4,0,1120,0,79,2,4223,True,False,Senior,High
1,87195.0,35,1,3,10,5,1,0,1097,1,65,2,3867,True,False,Senior,High
0,24594.0,94,1,1,0,3,5,0,29,0,45,3,4016,True,False,Middle-aged,Low
1,49096.0,15,4,4,1,4,7,0,187,0,60,4,4093,True,False,Senior,Medium
1,52413.0,56,4,6,4,12,6,0,910,0,55,4,4327,True,False,Middle-aged,Medium
1,38557.0,17,2,3,1,3,7,0,145,0,46,2,4372,False,True,Middle-aged,Medium
2,89058.0,18,1,5,4,4,2,0,850,0,64,2,4384,True,False,Senior,High
1,77298.0,46,1,6,6,11,3,0,969,0,45,3,4054,True,False,Middle-aged,High
3,68126.0,40,1,7,4,5,9,0,1820,1,33,1,4411,False,True,Young,High
2,57288.0,27,3,8,1,8,6,0,608,1,61,3,3819,True,False,Senior,Medium
1,86037.0,95,1,6,7,11,3,0,730,1,33,1,4358,False,True,Young,High
3,43974.0,19,5,6,4,6,7,0,551,0,44,3,4379,True,False,Middle-aged,Medium
1,50785.0,27,2,2,1,3,6,0,114,0,62,3,4107,False,True,Senior,Medium
1,90765.0,25,0,4,6,5,1,0,1724,1,54,2,3971,True,False,Middle-aged,Very High
2,36550.0,74,5,9,1,5,9,0,577,0,46,3,4310,True,False,Middle-aged,Medium
2,30753.0,85,2,1,1,3,5,0,81,0,57,4,4168,True,False,Senior,Medium
1,21918.0,37,2,2,0,3,6,0,33,0,55,3,4042,True,False,Middle-aged,Low
2,56129.0,65,4,6,2,10,4,0,660,0,71,3,4189,True,False,Senior,Medium
2,32557.0,13,3,2,1,3,5,0,80,1,57,2,3940,False,True,Senior,Medium
2,19510.0,63,2,1,0,3,7,0,30,0,39,4,4113,True,False,Middle-aged,Low
1,30992.0,83,1,1,0,3,7,0,43,0,48,2,4248,False,True,Middle-aged,Medium
1,101970.0,69,0,6,8,13,2,0,1135,1,41,1,4289,False,True,Middle-aged,Very High
2,71488.0,87,2,3,4,7,1,0,559,0,59,2,4311,True,False,Senior,High
1,79607.0,37,1,3,6,6,1,0,1923,1,40,1,4249,False,True,Middle-aged,High
2,54348.0,51,2,2,0,4,6,0,90,0,71,4,3836,True,False,Senior,Medium
3,51381.5,23,3,6,1,7,6,0,404,0,63,3,4168,True,False,Senior,Medium
3,77376.0,72,4,6,3,10,4,0,661,0,68,4,3865,True,False,Senior,High
1,62998.0,10,5,5,4,5,5,0,463,0,72,3,4087,True,False,Senior,High
2,61331.0,42,5,11,1,6,8,0,632,0,66,3,4291,False,True,Senior,High
1,73448.0,10,1,7,2,9,4,0,725,0,55,2,3954,True,False,Middle-aged,High
1,51381.5,96,1,6,5,7,4,0,725,0,61,3,4137,True,False,Senior,Medium
3,41551.0,51,5,5,1,5,8,0,279,0,60,4,4134,True,False,Senior,Medium
3,62981.0,21,1,4,5,13,3,0,1482,1,57,2,4284,True,False,Senior,High
0,9548.0,31,2,1,0,3,8,0,29,0,48,2,4505,False,True,Middle-aged,Low
3,33762.0,61,3,2,2,2,8,0,106,0,65,4,4172,True,False,Senior,Medium
3,35860.0,37,2,1,1,2,5,0,49,1,51,3,3856,False,True,Middle-aged,Medium
3,36921.0,74,2,2,0,3,7,0,38,0,59,3,4151,False,True,Senior,Medium
2,92859.0,46,1,5,4,12,2,0,2077,0,32,1,4433,False,True,Young,Very High
2,65104.0,4,2,3,5,7,7,0,1053,1,48,3,4042,True,False,Middle-aged,High
1,86111.0,73,1,5,7,10,2,0,1385,0,62,2,4251,True,False,Senior,High
3,68352.0,47,3,8,5,9,6,0,871,0,50,2,4120,False,True,Middle-aged,High
1,41883.0,13,3,4,2,3,7,0,312,0,36,3,4282,True,False,Middle-aged,Medium
1,59809.0,36,3,3,3,6,8,0,877,0,48,4,4434,True,False,Middle-aged,Medium
1,23957.0,47,1,2,0,3,6,0,68,1,49,3,4424,True,False,Middle-aged,Low
1,38547.0,49,1,1,0,2,8,0,22,0,43,3,4120,True,False,Middle-aged,Medium
2,35688.0,94,6,4,1,4,8,0,211,0,51,4,4491,True,False,Middle-aged,Medium
2,49605.0,65,1,2,1,4,3,0,127,0,58,2,3823,True,False,Senior,Medium
2,59354.0,59,1,4,4,7,3,0,459,0,71,4,3881,True,False,Senior,Medium
1,65747.0,96,4,8,1,6,6,0,460,1,55,3,3929,True,False,Middle-aged,High
2,46344.0,28,4,7,1,5,7,0,429,0,52,3,4377,True,False,Middle-aged,Medium
1,34176.0,12,4,3,0,4,6,0,89,0,36,2,3863,False,True,Middle-aged,Medium
3,61010.0,57,2,8,5,11,5,0,1021,0,72,3,4443,True,False,Senior,High
1,69372.0,10,1,10,4,6,4,0,1381,1,75,2,4310,True,False,Senior,High
1,49967.0,4,3,6,1,5,7,0,306,0,66,2,4171,False,True,Senior,Medium
1,60199.0,49,1,0,0,3,4,0,18,0,46,4,4105,False,True,Middle-aged,High
1,55375.0,3,1,1,1,6,2,0,162,0,47,3,4070,True,False,Middle-aged,Medium
1,80317.0,64,1,3,4,10,1,0,1231,0,69,1,4128,False,True,Senior,High
2,30523.0,0,1,1,0,2,7,0,13,0,66,4,4178,False,True,Senior,Medium
3,70356.0,20,2,10,6,9,6,0,1706,0,79,2,4416,True,False,Senior,High
1,23228.0,91,4,3,0,4,8,0,121,0,40,3,3990,True,False,Middle-aged,Low
3,74165.0,9,1,5,4,10,2,0,1293,0,49,1,4239,False,True,Middle-aged,High
3,117416.25,98,6,0,10,0,0,0,1608,0,51,3,3935,True,False,Middle-aged,Very High
1,43482.0,83,3,2,0,4,6,0,88,0,58,4,4043,True,False,Senior,Medium
1,62551.0,27,1,6,7,4,3,0,421,1,71,1,4038,False,True,Senior,High
1,52332.0,63,1,3,2,6,4,0,259,1,65,1,4120,False,True,Senior,Medium
1,66951.0,46,1,3,4,7,1,0,1117,0,36,1,4054,False,True,Middle-aged,High
1,26091.0,84,3,2,1,3,5,0,89,0,67,4,3939,True,False,Senior,Low
1,33456.0,58,2,1,0,3,7,0,36,0,59,4,3884,True,False,Senior,Medium
1,28718.0,78,2,2,0,3,8,0,57,0,42,3,4166,True,False,Middle-aged,Low
1,50447.0,4,1,3,1,3,6,0,148,0,54,4,3884,True,False,Middle-aged,Medium
3,53537.0,17,2,2,1,3,5,0,93,0,65,4,3965,True,False,Senior,Medium
1,52074.0,77,1,2,2,2,4,0,119,1,57,2,3901,False,True,Senior,Medium
3,80427.0,56,1,11,8,8,5,0,1835,0,49,3,4470,True,False,Middle-aged,High
3,83837.0,79,1,9,10,5,4,0,1318,1,76,2,4375,True,False,Senior,High
3,38853.0,90,2,2,0,3,7,0,45,0,54,4,3852,True,False,Middle-aged,Medium
1,38285.0,96,1,0,0,3,2,0,10,0,65,4,3820,True,False,Senior,Medium
2,78497.0,44,1,5,7,12,2,0,978,1,73,2,4025,True,False,Senior,High
3,51650.0,81,1,4,1,4,5,0,191,0,48,3,3864,True,False,Middle-aged,Medium
2,16248.0,77,3,2,1,3,6,0,57,0,36,3,3865,True,False,Middle-aged,Low
2,66835.0,21,1,6,4,13,2,0,1033,0,78,2,4089,True,False,Senior,High
2,30477.0,16,1,1,1,3,6,0,66,0,40,3,3973,True,False,Middle-aged,Medium
0,28249.0,80,1,2,0,3,6,0,43,0,63,2,3829,True,False,Senior,Low
1,25271.0,45,1,1,1,2,9,0,50,0,41,3,4386,True,False,Middle-aged,Low
3,32303.0,63,2,1,0,4,5,0,39,0,54,2,3928,False,True,Middle-aged,Medium
1,61286.0,34,2,7,1,8,5,0,608,0,58,3,4146,True,False,Senior,High
1,74068.0,14,1,4,10,9,2,0,1581,0,48,2,4282,True,False,Middle-aged,High
3,45759.0,13,2,2,0,3,7,0,68,0,60,4,4306,True,False,Senior,Medium
0,24882.0,52,1,1,1,2,6,0,80,1,46,3,4473,True,False,Middle-aged,Low
3,66973.0,98,1,8,7,12,3,0,1282,0,35,2,4223,True,False,Young,High
2,36640.0,99,1,2,1,2,5,0,65,0,92,2,4091,False,True,Senior,Medium
1,38872.0,93,2,3,0,3,8,0,91,0,36,3,4210,True,False,Middle-aged,Medium
1,51148.0,38,4,5,1,6,6,0,315,0,51,4,4311,True,False,Middle-aged,Medium
1,31353.0,24,2,1,1,2,8,0,31,0,47,4,3997,True,False,Middle-aged,Medium
2,69661.0,80,1,7,3,12,3,0,834,0,44,2,3862,True,False,Middle-aged,High
1,80067.0,82,1,4,6,6,2,0,1600,1,70,2,4098,True,False,Senior,High
1,86718.0,20,1,5,6,5,2,0,1270,0,70,2,4343,True,False,Senior,High
3,46854.0,81,6,5,1,3,8,0,263,1,51,3,3905,False,True,Middle-aged,Medium
1,69142.0,50,3,8,1,7,5,0,535,1,72,2,3815,False,True,Senior,High
1,75922.0,60,1,4,4,9,1,0,1295,0,56,1,4017,False,True,Senior,High
1,63693.0,63,3,11,6,9,6,0,1150,0,46,2,4073,False,True,Middle-aged,High
3,102160.0,54,0,7,9,10,4,0,1240,1,47,2,4419,True,False,Middle-aged,Very High
3,40637.0,72,2,1,0,3,7,0,38,0,59,3,4162,False,True,Senior,Medium
2,18890.0,5,1,0,1,2,6,0,35,1,40,1,4411,False,True,Middle-aged,Low
1,29604.0,88,1,1,0,3,9,0,53,1,36,3,4018,True,False,Middle-aged,Low
2,48721.0,50,6,4,2,5,6,0,293,0,61,3,4227,False,True,Senior,Medium
1,44794.0,99,1,2,0,3,6,0,65,0,58,3,3836,True,False,Senior,Medium
1,64497.0,17,5,11,4,9,8,0,1804,1,70,2,4472,False,True,Senior,High
1,46097.0,11,5,3,1,6,4,0,241,0,68,3,4270,True,False,Senior,Medium
1,77972.0,18,1,4,6,9,1,0,1101,0,70,2,3918,True,False,Senior,High
3,44377.0,70,6,5,1,5,8,0,264,0,56,4,4447,True,False,Senior,Medium
2,46014.0,21,6,7,1,8,7,0,541,0,50,4,4339,True,False,Middle-aged,Medium
1,70951.0,66,1,3,4,9,1,0,1198,0,39,2,4236,True,False,Middle-aged,High
1,41443.0,79,6,8,1,5,8,0,482,0,47,3,3904,True,False,Middle-aged,Medium
2,52195.0,2,1,1,0,2,8,0,17,0,46,4,3863,False,True,Middle-aged,Medium
2,83790.0,81,1,8,10,6,3,0,1615,1,76,2,4041,True,False,Senior,High
2,44551.0,24,2,4,1,5,7,0,285,0,70,2,4117,False,True,Senior,Medium
1,69508.0,48,2,11,4,11,6,0,1135,0,44,3,4407,True,False,Middle-aged,High
2,45204.0,93,1,1,1,4,3,0,114,0,36,3,3894,True,False,Middle-aged,Medium
1,72460.0,56,1,3,5,7,1,0,1047,0,55,2,4042,True,False,Middle-aged,High
3,77622.0,3,2,6,3,11,3,0,714,0,54,4,3891,True,False,Middle-aged,High
3,30732.0,44,4,4,1,4,8,0,185,0,44,3,4355,True,False,Middle-aged,Medium
1,63887.0,38,5,9,6,12,6,0,1245,0,62,2,4474,False,True,Senior,High
1,42011.0,46,4,3,1,4,8,0,189,0,46,3,4275,True,False,Middle-aged,Medium
1,51369.0,84,2,8,2,4,8,0,576,0,48,3,4427,True,False,Middle-aged,Medium
1,51537.0,27,3,2,2,11,8,0,1103,0,72,2,4382,False,True,Senior,Medium
3,79930.0,72,1,3,5,8,2,0,1753,0,52,2,4505,True,False,Middle-aged,High
3,34320.0,66,1,1,0,2,8,0,17,0,38,3,3948,True,False,Middle-aged,Medium
1,37070.0,30,6,5,1,8,7,0,433,1,58,3,4281,False,True,Senior,Medium
2,81975.0,2,1,6,3,4,7,0,1588,1,62,2,4355,False,True,Senior,High
1,38590.0,65,1,1,0,2,8,0,22,0,53,3,4225,True,False,Middle-aged,Medium
1,15033.0,37,1,1,0,3,3,0,19,0,73,1,3889,False,True,Senior,Low
3,62745.0,89,3,7,8,11,5,0,1117,0,59,3,4278,True,False,Senior,High
2,22212.0,49,2,2,0,4,6,0,69,0,49,3,4017,True,False,Middle-aged,Low
2,23661.0,46,1,1,0,3,7,0,23,0,42,3,4022,True,False,Middle-aged,Low
3,79761.0,32,1,5,2,11,3,0,605,0,66,2,4083,False,True,Senior,High
1,7500.0,54,4,3,1,3,7,0,57,0,51,2,4000,False,True,Middle-aged,Low
2,60182.0,23,1,1,0,2,4,0,22,0,92,2,3858,False,True,Senior,High
1,73455.0,98,1,6,5,10,3,0,2088,1,56,1,4059,False,True,Senior,High
1,64961.0,97,2,6,4,4,3,0,1009,0,66,3,4368,True,False,Senior,High
1,22804.0,75,1,2,0,2,9,0,26,0,53,2,4148,False,True,Middle-aged,Low
1,73687.0,8,1,3,9,9,2,0,1627,1,34,2,4028,True,False,Young,High
1,61074.0,37,6,11,5,8,7,0,1102,0,66,3,4496,True,False,Senior,High
3,31686.0,31,2,1,0,3,6,0,17,0,60,4,3839,True,False,Senior,Medium
1,80134.0,40,2,5,3,6,6,0,1690,1,52,3,4220,True,False,Middle-aged,High
1,75027.0,74,2,9,4,6,5,0,1390,0,71,3,4351,True,False,Senior,High
3,67546.0,90,1,4,10,5,3,0,2126,0,36,2,4482,True,False,Middle-aged,High
2,65176.0,57,4,9,6,6,6,0,1531,0,55,3,4423,True,False,Middle-aged,High
2,31160.0,59,2,2,0,3,8,0,64,0,49,2,4101,False,True,Middle-aged,Medium
1,29938.0,52,2,1,0,3,6,0,26,0,39,2,4060,False,True,Middle-aged,Low
1,102692.0,5,1,6,9,13,2,0,1112,1,50,1,4265,False,True,Middle-aged,Very High
2,26490.0,92,2,3,1,5,6,0,210,0,66,2,4460,True,False,Senior,Low
1,75702.0,77,5,4,6,11,8,0,1148,0,57,4,4484,True,False,Senior,High
3,30899.0,35,2,1,0,3,6,0,33,0,50,2,4439,False,True,Middle-aged,Medium
3,63342.0,48,3,8,3,5,6,0,1101,1,63,3,4436,True,False,Senior,High
1,45989.0,97,4,3,2,7,3,0,322,0,60,2,4430,False,True,Senior,Medium
1,18701.0,95,4,2,0,4,5,0,44,0,60,3,4205,False,True,Senior,Low
3,40737.0,24,1,1,0,2,8,0,17,0,67,4,4018,False,True,Senior,Medium
1,15287.0,60,2,1,1,2,7,0,31,1,45,2,4442,False,True,Middle-aged,Low
3,69674.0,46,3,10,2,10,5,0,845,0,56,3,4218,False,True,Senior,High
2,44159.0,85,4,4,1,6,5,0,275,0,54,3,3827,True,False,Middle-aged,Medium
3,37717.0,31,1,1,0,2,9,0,25,0,46,3,4398,True,False,Middle-aged,Medium
2,43776.0,9,6,5,2,4,8,0,275,1,72,4,4326,True,False,Senior,Medium
2,38179.0,30,4,3,1,3,7,0,90,0,58,4,4287,True,False,Senior,Medium
1,80124.0,47,1,3,7,8,1,0,1495,1,61,2,3818,True,False,Senior,High
3,38097.0,70,4,3,2,2,7,0,184,1,54,4,4437,True,False,Middle-aged,Medium
1,72940.0,13,1,3,3,6,1,0,981,0,54,2,4190,True,False,Middle-aged,High
1,22070.0,11,2,2,2,2,6,0,67,0,54,3,4083,True,False,Middle-aged,Low
1,69267.0,31,2,3,4,5,7,0,1635,1,71,1,4460,False,True,Senior,High
2,31788.0,15,3,3,0,4,5,0,60,0,41,2,3916,False,True,Middle-aged,Medium
3,61905.0,2,2,4,2,4,5,0,231,0,49,3,3960,True,False,Middle-aged,High
1,29315.0,55,4,2,0,4,6,0,48,0,64,4,3899,True,False,Senior,Low
1,33378.0,38,3,2,0,4,7,0,99,0,61,3,4323,False,True,Senior,Medium
3,66313.0,86,2,6,3,12,4,0,770,0,61,3,4101,True,False,Senior,High
1,60714.0,56,2,7,4,10,5,0,957,1,68,1,4343,False,True,Senior,High
2,77882.0,29,1,3,3,5,1,0,818,0,43,2,3875,True,False,Middle-aged,High
3,69867.0,30,1,3,5,8,1,0,925,1,38,1,4268,False,True,Middle-aged,High
2,63841.0,64,1,9,3,9,6,0,908,0,56,2,4249,False,True,Senior,High
0,24480.0,46,3,3,0,4,7,0,102,0,43,3,4318,True,False,Middle-aged,Low
1,51369.0,84,2,8,2,4,8,0,576,0,48,3,4427,True,False,Middle-aged,Medium
1,37760.0,20,2,4,1,6,7,0,317,0,78,2,4482,True,False,Senior,Medium
3,65640.0,74,1,5,1,8,2,0,461,0,50,3,3935,True,False,Middle-aged,High
2,44319.0,18,2,2,0,3,5,0,37,0,49,4,3888,True,False,Middle-aged,Medium
1,30631.0,75,1,3,1,2,7,0,70,0,50,3,4167,True,False,Middle-aged,Medium
1,75278.0,17,1,6,3,13,3,0,930,0,72,2,4331,True,False,Senior,High
2,50898.0,88,6,6,2,12,5,0,859,0,68,4,4352,True,False,Senior,Medium
1,79946.0,19,1,5,10,5,3,0,1478,0,58,1,3863,False,True,Senior,High
2,35416.0,62,3,7,1,5,8,0,390,0,75,1,4196,False,True,Senior,Medium
2,32414.0,11,1,1,0,3,7,0,52,1,40,2,4175,True,False,Middle-aged,Medium
1,38361.0,74,3,3,1,3,7,0,137,0,55,3,3999,True,False,Middle-aged,Medium
1,82497.0,32,1,2,7,9,4,0,1919,1,44,2,4421,True,False,Middle-aged,High
1,16626.0,76,3,3,0,3,9,0,68,0,53,4,3980,True,False,Middle-aged,Low
1,29672.0,6,1,0,0,3,6,0,25,0,59,4,4289,True,False,Senior,Low
2,55951.0,62,3,3,6,11,8,0,1374,1,72,3,4490,True,False,Senior,Medium
2,35388.0,20,1,1,0,3,7,0,32,0,36,2,4294,False,True,Middle-aged,Medium
2,42386.0,43,1,3,0,3,8,0,100,0,38,3,4347,True,False,Middle-aged,Medium
1,68627.0,45,1,2,3,6,1,0,825,0,42,1,4348,False,True,Middle-aged,High
3,57912.0,34,5,8,3,12,5,0,916,1,59,2,3919,False,True,Senior,Medium
1,35246.0,53,4,3,1,3,5,0,62,0,66,3,3889,False,True,Senior,Medium
2,58821.0,44,1,9,2,9,6,0,728,0,68,3,4075,True,False,Senior,Medium
3,46377.0,89,1,2,1,3,4,0,90,0,46,3,3935,True,False,Middle-aged,Medium
1,39747.0,43,3,5,1,4,8,0,273,0,36,2,3892,False,True,Middle-aged,Medium
1,23976.0,68,3,3,1,3,7,0,66,0,40,3,3999,True,False,Middle-aged,Low
2,80950.0,44,1,6,7,9,2,0,1213,1,63,2,4273,True,False,Senior,High
